Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Baselink,0.012146,-0.00048948,0.032143,0,0,0,3,0.0030214,-1.0844E-06,-4.755E-06,0.0040444,-1.2407E-05,0.0059547,0,0,0,0,0,0,package://FullForm/meshes/Baselink.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullForm/meshes/Baselink.STL,,Baseplate2.2.2-1;Baseplate2.2.1-1;Baseplate1.2-1;Baseplate1.2-2;105motormount-2;servoFeetechSTS3095-6;servoFeetechSTS3095-1;105motormount-1;drive_motor_mount_v2 (1)-2;drive_motor_mount_v2 (1)-3;drive_motor_mount_v2 (1)-6;drive_motor_mount_v2 (1)-4;drive_motor_mount_v2 (1)-5;Dockingf-2;Dokingm-1;STS3215_03a v1-1;STS3215_03a v1-2;STS3215_03a v1-7;STS3215_03a v1-8;STS3215_03a v1-9;Wheel-1;servo_wheel_hub-1;Wheel-4;servo_wheel_hub-3;Wheel-2;servo_wheel_hub-2;Wheel-3;servo_wheel_hub-4,Baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
IMUleft,0.0012919,4.0773E-06,0.0023682,0,0,0,0.004467,6.8423E-07,-4.5621E-10,1.643E-08,3.7604E-07,-8.9063E-11,9.075E-07,0,0,0,0,0,0,package://FullForm/meshes/IMUleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullForm/meshes/IMUleft.STL,,IMUleft-1,IMUleft,,IMUleft_joint,fixed,-2.3585E-05,-0.015,0.0851,3.1416,0,-1.5708,Baselink,0,0,0,,,,,,,,,,,,
IMUright,0.000870135893543206,6.27414442622154E-09,0.00672512820734533,0,0,0,0.00662926531667998,1.90880432962874E-06,-4.68983873418015E-13,4.15673471632754E-08,9.54365098136333E-07,4.16933580420275E-13,1.99900689159998E-06,0,0,0,0,0,0,package://FullForm/meshes/IMUright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullForm/meshes/IMUright.STL,,IMUright-1,IMUright,,IMUright_joint,fixed,0,0.015,0.0851,3.1416,0,1.5708,Baselink,0,0,0,,,,,,,,,,,,
Bubleft,-0.016954,-0.00071075,1.8179E-08,0,0,0,0.058815,4.8553E-05,-1.4853E-06,1.7522E-11,2.4682E-05,-1.5005E-11,5.5946E-05,0,0,0,0,0,0,package://FullForm/meshes/Bubleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullForm/meshes/Bubleft.STL,,Hip_105kg-1,Bubleft,Leftbub,Bubleft_joint,revolute,0.04025,-0.07995,0.0229,0,0,0,Baselink,-1,0,0,0,0,0,0,,,,,,,,
Hipleft,-0.00027714,0.0028372,-0.066579,0,0,0,0.31227,0.00025957,4.8887E-07,3.119E-06,0.00016977,-1.0144E-05,0.0001706,0,0,0,0,0,0,package://FullForm/meshes/Hipleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullForm/meshes/Hipleft.STL,,servoFeetechSTS3095-2;Hip+twist_105kg-1;Twist30kg-1;STS3215_03a v1-3,Hipleft,Lefthip,Hipleft_joint,revolute,-0.04695,0.0003,0,0,0,0,Bubleft,0,-1,0,0,0,0,0,,,,,,,,
Kneeleft,-9.0682E-05,2.1858E-05,-0.085667,0,0,0,0.33239,0.00047372,4.7353E-10,-1.1527E-12,0.00038154,-1.1416E-06,0.00017855,0,0,0,0,0,0,package://FullForm/meshes/Kneeleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullForm/meshes/Kneeleft.STL,,servoFeetechSTS3095-4;Knee105+30kg-1;STS3215_03a v1-4,Kneeleft,Leftknee,Kneeleft_joint,revolute,0.0001,0.0045,-0.1851,0,0,0,Hipleft,0,-1,0,0,0,0,0,,,,,,,,
Footleft,0.032507,0.00074716,-0.018308,0,0,0,0.22544,0.00013754,-7.3411E-08,-8.6249E-05,0.00032235,-4.2724E-09,0.00033536,0,0,0,0,0,0,package://FullForm/meshes/Footleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullForm/meshes/Footleft.STL,,Foot30kg-1;Jaw30kg-1;STS3215_03a v1-5,Footleft,Leftfoot,Footleft_joint,revolute,-0.0003,-0.00125,-0.19,0,0,0,Kneeleft,0,-1,0,0,0,0,0,,,,,,,,
Bubright,-0.016954,0.00071075,-1.8179E-08,0,0,0,0.058815,4.8553E-05,1.4853E-06,-1.7522E-11,2.4682E-05,-1.5005E-11,5.5946E-05,0,0,0,0,0,0,package://FullForm/meshes/Bubright.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullForm/meshes/Bubright.STL,,Hip_105kg-2,Bubright,Rightbub,Bubright_joint,revolute,0.04025,0.07995,0.0229,0,0,0,Baselink,-1,0,0,0,0,0,0,,,,,,,,
Hipright,-0.00027715,-0.0028372,-0.066579,0,0,0,0.31227,0.00025957,-4.8881E-07,3.1191E-06,0.00016977,1.0144E-05,0.0001706,0,0,0,0,0,0,package://FullForm/meshes/Hipright.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullForm/meshes/Hipright.STL,,servoFeetechSTS3095-5;Hip+twist_105kg(2)-1;Twist30kg-2;STS3215_03a v1-10,Hipright,Righthip,Hipright_joint,revolute,-0.04695,-0.0003,0,0,0,0,Bubright,0,1,0,0,0,0,0,,,,,,,,
Kneeright,9.0682E-05,-7.6334E-05,-0.085667,0,0,0,0.33239,0.00047372,4.7353E-10,1.1527E-12,0.00038154,1.1416E-06,0.00017855,0,0,0,0,0,0,package://FullForm/meshes/Kneeright.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://FullForm/meshes/Kneeright.STL,,servoFeetechSTS3095-3;Knee105+30kg-2;STS3215_03a v1-11,Kneeright,Rightknee,Kneeright_joint,revolute,0.0001,-0.0048,-0.1851,0,0,0,Hipright,0,1,0,0,0,0,0,,,,,,,,
